city,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1
安康,105.78,105.88,108.65,111.92,113.06,113.93,112.95,110.97,112.09,113.76,112.46,124.19,118.75,120.47,127.52,115.55,121.47,123.88,129.87,127.32,127.72,140.02,136.39,137.88,144.1573354954955,145.3302582924665
安庆,214.38,219.12,234.45,254.34,258.14,266.45,268.16,262.86,279.77,271.27,283.16,291.2,261.85,273.53,287.11,291.53,305.2,307.96,325.66,338.1,362.01,331.21,334.99,332.7,369.9560849351273,360.97383947037116
安顺,113.67,114.54,120.5,124.68,122.87,127.99,132.88,139.08,137.35,137.7,134.73,142.33,131.68,144.36,138.33,137.91,157.93,163.17,164.56,157.58,179.58,151.47,171.41,178.94,164.8518646339237,172.02462565738503
安阳,108.54,108.07,114.18,118.46,120.4,124.14,127.55,130.65,134.42,141.17,145.39,153.34,150.73,143.01,156.75,163.61,170.57,183.1,176.41,172.54,174.49,155.95,176.15,168.91,188.91441061946904,114.41671587120315
鞍山,97.32,104.55,103.67,95.63,100.43,97.42,100.61,105.95,96.3,106.5,114.95,101.89,103.62,104.57,107.82,102.85,109.23,116.8,105.09,106.89,111.65,108.65,112.61,114.37,119.44808794496616,116.88272288438179
巴彦淖尔,110.18,114.04,116.15,116.19,117.71,120.31,119.04,121.45,129.64,121.42,120.73,121.08,124.28,121.3,139.47,133.96,126.82,132.68,142.5,138.12,144.35,140.92,144.02,146.06,147.89239866594556,142.44538511108072
巴中,102.97,104.87,107.4,107.69,108.21,109.41,110.22,109.51,113.2,117.16,117.74,117.23,116.53,116.63,117.8,110.37,115.6,123.06,132.46,119.99,128.44,135.02,125.42,141.04,141.47725625,177.8501939642449
白城,118.67,122.94,123.92,127.03,123.61,126.5,131.6,133.18,133.17,127.92,139.59,147.13,149.91,151.31,137.64,141.14,149.33,152.49,155.96,154.87,143.5,156.12,157.59,155.33,168.0204216427365,115.76890046802666
白山,105.55,112.27,108.29,114.57,115.79,116.97,119.07,118.89,111.17,109.41,120.3,123.52,127.7,120.52,132.01,114.3,126.95,150.38,120.57,130.09,153.42,131.81,144.26,148.17,143.981312855377,142.65502416079192
白银,112.11,114.26,113.6,114.76,121.94,121.66,124.3,128.84,122.17,131.83,128.1,131.76,130.39,138.68,134.85,119.74,128.95,122.81,106.55,143.74,152.83,157.11,150.5,162.34,163.60367441517775,169.86715233157113
百色,102.98,112.15,106.25,108.41,108.64,109.95,108.65,110.14,115.1,115.94,118.42,113.56,117.17,111.61,108.38,106.42,130.76,117.92,140.57,126.27,145.12,125.12,112.59,167.36,154.41160450788882,143.85540831423089
蚌埠,181.02,198.74,210.27,255.61,240.53,217.77,227.24,228.39,202.77,197.87,236.6,226.06,216.24,215.91,222.22,230.56,230.5,229.57,234.45,235.8,233.27,234.2,229.24,237.4,254.9439612157888,226.06492474679746
包头,139.47,139.96,139.99,145.49,148.89,152.79,153.86,154.11,151.69,153.88,160.55,165.86,164.58,166.45,163.56,182.54,181.15,173.87,204.04,192.97,187.1,185.38,185.42,182.98,190.57937160544785,173.1007225249752
宝鸡,108.73,104.49,106.38,111.23,111.13,114.19,112.13,117.44,119.81,119.64,136.52,139.89,124.04,121.06,132.84,137.42,146.89,165.42,151.4,154.71,151.5,148.63,148.11,156.69,155.8968704238738,156.59960095281508
保定,335.38,365.19,371.9,435.59,432.43,425.19,442.24,419.61,525.76,428.33,519.37,510.54,426.15,455.25,428.6,407.75,414.69,459.58,472.94,415.23,443.64,391.96,414.1,443.33,462.0121786981736,464.8349032469493
保山,112.55,120.15,119.41,112.94,113.19,119.73,121.08,127.31,123.48,121.45,121.3,132.42,143.26,153.32,122.78,133.0,135.28,124.62,123.17,129.71,163.31,168.52,172.55,166.58,147.0520221396731,161.06785340363226
北海,126.67,126.87,131.74,139.65,149.16,156.17,169.47,186.67,165.89,173.8,177.01,176.26,184.58,186.52,183.89,207.63,219.17,221.68,233.34,212.71,229.42,218.27,203.84,208.56,231.05115601458084,196.761208338981
北京,605.03,619.76,663.19,702.97,697.91,691.45,693.77,685.54,675.99,657.06,642.22,636.69,598.87,564.45,562.43,623.49,566.75,607.79,649.01,535.13,600.35,639.31,613.2,674.73,670.9875788353452,679.2794840109716
本溪,104.75,106.38,107.62,105.58,105.17,108.55,107.44,109.67,106.96,104.8,111.28,107.63,106.46,110.77,114.24,106.88,100.06,98.58,105.55,104.54,94.44,107.07,110.92,111.32,127.85427196029775,78.7094987403989
滨州,246.95,238.88,243.96,262.7,269.3,277.03,280.56,284.96,295.99,306.16,305.52,306.64,308.43,312.75,323.73,335.41,334.61,342.98,347.34,377.05,394.66,356.0,368.31,375.46,368.7244724046354,359.4922906060353
亳州,114.61,114.49,118.54,123.6,128.37,132.56,135.53,141.03,148.09,152.45,140.37,147.88,148.32,144.88,139.49,131.19,144.84,152.94,156.46,157.6,165.85,171.98,165.83,154.35,164.67167553448,165.98899921904703
沧州,202.84,212.95,229.97,270.19,278.91,268.45,273.22,262.65,318.59,299.88,332.78,330.15,284.24,301.22,294.04,283.13,294.09,305.26,328.44,289.12,311.02,238.07,261.91,246.07,314.0086165680473,312.16529042434945
昌吉回族自治州,121.83,124.65,126.21,123.86,123.6,125.6,125.84,128.21,136.88,134.32,136.99,136.32,137.78,131.31,140.55,138.92,144.52,152.59,143.49,145.62,150.36,154.39,153.09,154.74,162.9415326060606,155.41845403580498
常德,278.59,280.93,282.84,296.38,303.67,319.84,327.8,342.04,362.57,369.84,352.7,364.9,334.73,340.22,367.06,329.74,426.32,436.25,433.31,419.39,363.88,337.9,383.7,364.59,472.68308073314796,475.7923697077555
常州,236.15,245.45,260.25,276.36,290.19,302.98,311.53,322.06,318.9,328.9,320.57,336.8,342.49,350.91,352.02,358.47,360.4,352.78,402.97,394.1,409.86,421.01,389.49,405.13,415.76369844884726,397.4164192531045
朝阳,102.4,103.48,104.53,104.58,105.64,106.71,105.73,107.74,110.49,110.1,115.94,108.46,120.4,118.21,118.52,122.66,120.97,121.85,126.14,122.06,125.04,124.36,125.83,131.37,132.43902556742322,132.06351783888874
潮州,105.98,109.84,113.14,116.32,117.62,118.37,117.43,123.84,128.08,120.89,126.04,129.87,139.26,133.79,135.41,132.34,147.9,135.53,148.42,157.7,155.3,141.11,160.91,149.85,188.09136416184967,166.59792411212456
郴州,110.34,111.32,114.31,116.59,124.3,128.05,130.69,138.0,136.24,136.97,142.44,144.14,138.63,136.95,139.71,149.73,163.01,166.3,171.39,179.07,181.74,188.13,181.73,191.2,193.26922760646102,193.39068607797267
成都,224.51,224.43,244.21,258.44,261.05,267.11,277.07,282.1,287.04,284.95,324.05,338.62,331.89,338.16,340.95,326.15,361.44,359.0,353.74,353.31,360.17,354.87,334.72,327.58,346.1262609627083,337.31324867191387
承德,115.45,125.74,133.98,147.83,155.77,166.64,137.36,145.46,154.08,168.06,161.38,156.85,172.64,171.52,156.92,153.21,163.79,161.73,160.82,165.11,188.58,176.19,181.49,171.71,178.79399839666843,156.6730762693162
池州,110.12,111.91,114.83,116.23,118.84,125.26,126.67,125.65,135.65,144.2,141.9,152.46,147.78,151.16,160.04,165.88,164.65,172.46,171.64,177.84,177.11,171.74,175.91,166.12,181.0673196805029,172.73155471189222
赤峰,116.28,116.23,121.87,127.4,133.38,137.85,136.45,138.79,135.12,136.01,136.37,144.68,143.52,145.39,142.66,153.12,155.45,151.66,166.51,161.88,169.93,174.29,166.01,169.18,170.04301870202374,168.79151312997368
崇左,107.53,109.71,109.46,113.92,108.27,112.47,114.76,114.09,110.89,117.74,115.91,120.92,129.55,103.1,117.5,136.27,145.28,142.47,150.92,171.69,154.42,113.45,139.29,134.0,168.23006124721599,169.46951325609345
滁州,131.72,135.78,140.66,142.61,146.84,149.3,151.47,146.2,158.46,159.45,161.14,161.7,156.16,163.44,159.31,149.8,159.96,164.07,161.27,164.88,166.85,169.54,172.58,174.67,172.43956702734314,202.74320976318302
达州,111.3,112.31,114.67,114.44,116.02,120.96,122.77,124.6,122.13,124.58,134.88,146.9,132.68,139.39,112.26,139.77,141.92,134.09,162.47,137.58,141.07,159.3,145.83,160.88,185.79217537643933,187.49465537425135
大连,241.41,249.79,257.12,258.06,263.67,267.78,274.95,273.1,263.67,257.99,251.66,268.22,296.71,290.36,311.2,296.57,330.68,339.05,331.94,283.95,301.0,329.17,290.76,329.71,349.5589891103348,342.12056213667375
大庆,101.55,104.73,106.06,107.3,109.24,106.95,108.72,105.49,111.52,107.14,107.64,107.81,111.55,123.28,120.88,111.43,116.12,114.87,99.83,114.19,115.7,114.66,118.95,118.04,124.47880728228228,35.28358680747291
