city,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04
安康,4101.0,4089.0,4179.0,4288.0,4315.0,4333.0,4281.0,4191.0,4219.0,4269.0,4207.0,4635.0,4422.0,4476.0,4728.0,4274.0,4483.0,4562.0,4774.0,4670.0,4666.0,5099.0,4954.0,4995.0,5205,5232.0,5427.0,5457.0
安庆,5588.0,5698.0,6083.0,6584.0,6668.0,6868.0,6897.0,6747.0,7167.0,6936.0,7227.0,7419.0,6660.0,6946.0,7280.0,7381.0,7717.0,7777.0,8214.0,8514.0,9103.0,8315.0,8396.0,8324.0,9240,9000.0,9305.0,9171.0
安顺,3716.0,3729.0,3908.0,4028.0,3954.0,4104.0,4244.0,4427.0,4357.0,4354.0,4247.0,4476.0,4132.0,4520.0,4321.0,4298.0,4912.0,5065.0,5099.0,4871.0,5543.0,4659.0,5260.0,5477.0,5028,5229.0,5244.0,5325.0
安阳,3757.0,3729.0,3928.0,4063.0,4117.0,4233.0,4337.0,4431.0,4548.0,4765.0,4896.0,5153.0,5055.0,4785.0,5233.0,5450.0,5671.0,6077.0,5845.0,5707.0,5760.0,5136.0,5790.0,5537.0,6180,3730.0,5191.0,6090.0
鞍山,4173.0,4470.0,4419.0,4062.0,4252.0,4110.0,4231.0,4443.0,4026.0,4440.0,4775.0,4220.0,4278.0,4304.0,4425.0,4208.0,4459.0,4756.0,4268.0,4332.0,4512.0,4377.0,4525.0,4579.0,4767,4649.0,4908.0,4856.0
巴彦淖尔,4470.0,4613.0,4685.0,4673.0,4720.0,4812.0,4749.0,4832.0,5143.0,4803.0,4765.0,4770.0,4887.0,4761.0,5465.0,5240.0,4951.0,5171.0,5545.0,5365.0,5561.0,5407.0,5509.0,5547.0,5601,5382.0,6053.0,5871.0
巴中,4097.0,4159.0,4246.0,4244.0,4251.0,4285.0,4303.0,4262.0,4394.0,4536.0,4547.0,4518.0,4480.0,4473.0,4507.0,4212.0,4401.0,4676.0,5025.0,4541.0,4848.0,5085.0,4709.0,5248.0,5251,6588.0,4745.0,5139.0
白城,3851.0,3976.0,3994.0,4081.0,3957.0,4036.0,4185.0,4221.0,4208.0,4032.0,4388.0,4616.0,4694.0,4727.0,4289.0,4387.0,4632.0,4720.0,4818.0,4775.0,4410.0,4784.0,4817.0,4736.0,5106,3500.0,5073.0,5101.0
白山,3095.0,3281.0,3153.0,3324.0,3347.0,3369.0,3417.0,3399.0,3167.0,3106.0,3405.0,3488.0,3597.0,3385.0,3698.0,3192.0,3536.0,4180.0,3342.0,3596.0,4229.0,3620.0,3950.0,4045.0,3919,3871.0,3701.0,3860.0
白银,3971.0,4035.0,3999.0,4027.0,4266.0,4243.0,4322.0,4468.0,4224.0,4548.0,4408.0,4526.0,4471.0,4746.0,4605.0,4079.0,4384.0,4166.0,3605.0,4852.0,5145.0,5279.0,5049.0,5429.0,5456,5650.0,5869.0,5756.0
百色,3529.0,3830.0,3615.0,3676.0,3670.0,3701.0,3644.0,3681.0,3834.0,3850.0,3920.0,3747.0,3856.0,3662.0,3546.0,3472.0,4256.0,3827.0,4544.0,4070.0,4661.0,4007.0,3596.0,5324.0,4890,4536.0,4615.0,4538.0
蚌埠,5791.0,6342.0,6694.0,8123.0,7629.0,6893.0,7178.0,7200.0,6377.0,6210.0,7411.0,7068.0,6750.0,6728.0,6913.0,7161.0,7149.0,7105.0,7247.0,7277.0,7181.0,7198.0,7033.0,7271.0,7793,6897.0,7425.0,8005.0
包头,5821.0,5829.0,5814.0,6026.0,6151.0,6298.0,6326.0,6321.0,6205.0,6281.0,6538.0,6741.0,6677.0,6740.0,6611.0,7366.0,7298.0,6992.0,8195.0,7734.0,7483.0,7398.0,7383.0,7269.0,7553,6844.0,7008.0,7804.0
宝鸡,3900.0,3734.0,3788.0,3947.0,3930.0,4025.0,3939.0,4112.0,4182.0,4164.0,4738.0,4841.0,4281.0,4166.0,4560.0,4706.0,5020.0,5643.0,5155.0,5255.0,5130.0,5019.0,4987.0,5261.0,5220,5228.0,3956.0,5215.0
保定,9007.0,9793.0,9959.0,11650.0,11550.0,11342.0,11782.0,11164.0,13971.0,11365.0,13763.0,13510.0,11264.0,12020.0,11303.0,10740.0,10910.0,12075.0,12412.0,10884.0,11613.0,10243.0,10804.0,11553.0,12022,12078.0,11210.0,12210.0
保山,5700.0,6072.0,6021.0,5681.0,5680.0,5994.0,6047.0,6345.0,6141.0,6028.0,6008.0,6548.0,7075.0,7561.0,6044.0,6536.0,6638.0,6100.0,6020.0,6331.0,7959.0,8199.0,8384.0,8076.0,7114,7777.0,7572.0,6970.0
